Date,Open,High,Low,Close,Volume,Market Cap
06-05-2021,190.23246053,190.64967704,173.11835696,175.7185288,563825.94,2460059.41
05-05-2021,232.44110321,241.0013618,183.43569609,190.33006809,590586.5,2664620.96
04-05-2021,200.49465748,247.5811958,190.20416912,231.49320989,755942.48,3240904.94
03-05-2021,144.09716958,201.43667772,143.49377841,199.86268493,606515.42,2798077.59
02-05-2021,189.91072451,192.21592107,123.31420235,143.55482636,492502.54,2009767.57
01-05-2021,184.63027319,193.80042546,183.1606048,189.97002223,579114.69,2659580.32
30-04-2021,161.36904829,185.27831042,159.65820227,184.63583619,564673.59,2584901.71
29-04-2021,144.99975493,163.81070444,141.17392478,161.41102353,519525.17,2259754.33
28-04-2021,176.03270531,209.49345327,138.61885783,144.95945598,551985.31,2029432.39
27-04-2021,142.0078229,175.88924391,139.30265959,175.88924391,346384.6,2462449.42
26-04-2021,120.88689242,142.11040089,120.26691312,142.11040089,450636.3,1989545.62
25-04-2021,126.08232429,128.45938762,113.18652825,120.73208307,393109.7,1690249.17
24-04-2021,136.13783799,136.37714528,124.51363205,126.23617428,417349.53,1767306.44
23-04-2021,137.82011547,139.87508108,118.74898877,136.28630608,411586.01,1908008.29
22-04-2021,137.63233045,158.81665964,128.29027263,138.00123426,369428.99,1932017.28
21-04-2021,141.49262303,146.33255551,131.97114736,137.52707837,431943.36,1925379.1
20-04-2021,146.13849385,146.37821583,125.26446528,141.34194765,437387.92,1978787.27
19-04-2021,152.62981685,155.66556334,138.84669829,146.16886174,464380,2046364.07
18-04-2021,211.99027147,213.32369317,143.72150095,152.51502581,504232.53,2135210.37
17-04-2021,181.15246266,217.7424011,160.23070224,212.20383231,643013.64,2970853.66
16-04-2021,192.07290708,218.65472086,172.77627926,181.35717758,593864.41,2539000.49
15-04-2021,187.6728234,200.32275008,184.51588319,191.9572036,243050.57,2687400.86
14-04-2021,215.06028713,215.97034982,180.0493698,187.57558642,621320.18,2626058.21
13-04-2021,193.4445003,246.31744578,193.24556347,215.52927543,690641.31,3017409.86
12-04-2021,205.57603616,206.3659692,172.46868827,193.61133184,642378.67,2710558.65
11-04-2021,216.653398,271.26241303,202.19232215,205.57168583,695386.29,2878003.61
10-04-2021,209.14063737,225.69635869,208.35326966,216.62357511,684812.91,3032730.06
09-04-2021,211.27670755,215.21442347,208.09461269,209.2403521,647263.15,2929364.93
08-04-2021,197.97990397,211.37874429,196.93152693,211.26005468,667882.93,2957640.77
07-04-2021,235.63744439,237.44364998,172.70735526,198.41600617,551485.01,2777824.09
06-04-2021,223.64787707,237.57105472,196.34442646,235.73228282,755908.8,3300251.96
05-04-2021,239.7325441,261.54007107,221.59240934,223.36331372,645386.2,3127086.4
04-04-2021,204.1079673,241.04724562,201.83676207,239.71539178,710657.27,3356015.49
03-04-2021,248.04418546,248.91494161,204.16218744,204.16218744,310766.43,2858270.63
02-04-2021,263.36093102,267.71942176,210.95029231,248.00675367,826422.05,3472094.56
01-04-2021,239.96772068,265.52639884,239.96772068,263.35844717,827758.02,3687018.27
31-03-2021,284.35271202,288.43076771,231.50312536,239.98413949,782024.03,3359777.96
30-03-2021,291.62431939,293.10973237,282.94279021,284.39474016,835257.74,3981526.37
29-03-2021,291.86523939,321.22757151,260.38167454,291.63524514,887445.49,4082893.44
28-03-2021,252.49981099,318.18761139,251.16722741,291.90475946,1024458.72,4086666.64
27-03-2021,244.97833703,254.91041819,214.99672096,252.60501142,903061.53,3536470.16
26-03-2021,204.23771007,246.22791178,204.08900447,244.99475378,761587.58,3429926.56
25-03-2021,220.86930141,269.79538075,179.99423685,204.29665918,762006.9,2860153.23
24-03-2021,295.00750166,310.77563655,207.22632496,220.97572042,695840.59,3093660.09
23-03-2021,327.85632825,333.05241482,290.35606822,295.1926834,988504.98,4132697.57
22-03-2021,322.69055629,344.94762434,288.03858354,327.87914345,1075302.38,4590308.01
21-03-2021,269.90867276,399.74347792,267.61877053,322.62346915,1054127.26,4516728.57
20-03-2021,285.31940259,308.1598617,249.4098376,270.06928202,847323.26,3780969.95
19-03-2021,247.63576644,351.05729667,242.10859226,285.29620417,953827.63,3994146.86
18-03-2021,344.95411081,354.21283869,246.51466488,247.6596125,896415.02,3467234.58
17-03-2021,379.30174483,380.26209798,294.98013224,344.75971172,1544212.71,4826635.97
16-03-2021,409.72528574,411.90045681,345.85522,379.36652774,2380328.57,5311131.39
15-03-2021,352.53545247,413.40456141,280.43057672,409.73835939,2749589.49,5736337.04
14-03-2021,368.57483758,416.33127343,304.99981844,352.69677284,2288971.37,4937754.82
13-03-2021,371.05417337,478.85691693,318.07797872,368.56433955,2483420.35,5159900.76
12-03-2021,288.39348517,374.40094461,261.14769402,371.29236394,2513974.29,5198093.1
11-03-2021,238.3941508,322.65405624,236.17998926,288.35549532,1964518.37,4036976.94
10-03-2021,305.63781669,333.08988576,199.41161889,238.75210234,1763394.49,3342529.44
09-03-2021,216.45222401,359.39357529,183.13687606,305.57908012,2183002.73,4278107.13
08-03-2021,222.51155912,259.32946399,198.64063225,216.4900847,1455578.71,3030861.19
07-03-2021,248.67033855,323.60439272,201.46820228,222.4920369,1575228.54,3114888.52
06-03-2021,166.98547024,282.33956803,150.85398364,248.91430995,1768346.97,3484800.34
05-03-2021,157.22675915,185.6993903,115.24209187,166.97714796,1084557.85,2337680.08
04-03-2021,127.80946963,173.72573296,120.29572452,157.21910771,1073495.33,2201067.51
03-03-2021,131.16686211,137.67626618,118.70308127,127.83576652,795596.45,1789700.74
02-03-2021,133.01272167,143.53732883,127.0962686,131.16218071,845112.67,1836270.54
01-03-2021,150.45575555,160.64695497,101.75392531,133.02326325,914270.31,1862325.69
28-02-2021,134.81711848,153.25057178,116.8297413,150.28907808,965954.45,2104047.1
27-02-2021,139.69848649,148.63965899,132.35999927,134.82840618,854004.65,1887597.69
26-02-2021,154.80886935,174.74161759,114.94533554,139.70142486,915341.8,1955819.95
25-02-2021,115.69998625,161.05087921,105.15506248,154.91401419,1030676.74,2168796.2
24-02-2021,113.30049545,141.44425409,95.42614146,115.64926202,736003.6,1619089.67
23-02-2021,156.46479885,156.46479885,101.52965731,113.22421688,636485.83,1585139.04
22-02-2021,146.27138949,156.48115717,115.91900226,156.48115717,1051551.6,2190736.21
21-02-2021,185.49237558,193.87235402,115.02839038,146.27182001,994013.66,2047805.49
20-02-2021,214.97605053,221.37784744,113.80632501,185.47701955,1216677.81,2596678.28
19-02-2021,210.43441325,278.99619202,178.44325994,215.05320446,1459108.08,3010744.87
18-02-2021,158.88146719,250.16690815,134.90094016,210.52196809,1421736.63,2947307.56
17-02-2021,124.55424219,195.25620606,124.05131175,158.60414248,1226330.76,2220458
16-02-2021,111.9117821,129.467152,101.41707408,124.6374033,813247.57,1744923.65
15-02-2021,102.86698577,118.50739189,82.05238543,111.7626653,768247.29,1564677.32
14-02-2021,112.61024237,125.76445022,82.60638564,102.86994943,1204830.2,1440179.3
